Dataset,Model,Accuracy,Weighted_Precision,Weighted_Recall,Weighted_F1,Macro_F1
ISOT Fake vs Real,Logistic Regression,0.9891982182628062,0.9892161728499657,0.9891982182628062,0.9891995166404809,0.989178119376403
ISOT Fake vs Real,SVM,0.9967706013363029,0.9967706590966366,0.9967706013363029,0.9967706178301323,0.996763822372396
ISOT Fake vs Real,MLP Neural Network,0.994543429844098,0.9945470181590697,0.994543429844098,0.9945437289128217,0.9945325274297154
ISOT Fake vs Real,DistilBERT Transformer,0.9994,0.9994006872852235,0.9994,0.999399983042541,0.9993986716657095
LIAR Truthfulness,Logistic Regression,0.23993685872138912,0.23566877175213286,0.23993685872138912,0.23172197897294727,0.210439214471676
LIAR Truthfulness,SVM,0.24861878453038674,0.24842349230389502,0.24861878453038674,0.24798566731409777,0.23772687782095248
LIAR Truthfulness,MLP Neural Network,0.22336227308603,0.22275411376717782,0.22336227308603,0.22255361044296515,0.2147305140068736
LIAR Truthfulness,DistilBERT Transformer,0.281767955801105,0.2815149100882285,0.281767955801105,0.27869168516889453,0.27129628071520734
Article Political Bias Direction,Logistic Regression,0.5430769230769231,0.5451355970094427,0.5430769230769231,0.5429454925544758,0.5214109697378566
Article Political Bias Direction,SVM,0.5192307692307693,0.5254287185497858,0.5192307692307693,0.5209039556378671,0.49459798232072183
Article Political Bias Direction,MLP Neural Network,0.5007692307692307,0.5192408463685955,0.5007692307692307,0.5070699147998181,0.4822775980563397
Article Political Bias Direction,DistilBERT Transformer,0.42538461538461536,0.44501091882425814,0.42538461538461536,0.43033741304944056,0.4016031813492808
